web-scraper-order,web-scraper-start-url,marque,marque-href,prix,adresse,image-src
"1708088842-1","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=4","Chevrolet Equinoxe à louer","https://www.dakarvente.com/annonce-4756-darou-rakhmane-trading-location-de-chevrolet-quinoxe.html","","Nord Foire","media/annonces/pics/thumbs/6bf0b7a2e5e0675b57a4494a621a14dc.jpg"
"1708088842-2","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=4","Location véhicules","https://www.dakarvente.com/annonce-4687-location-vhicules-louer.html","25 000 FCFA","Amitié","media/annonces/pics/thumbs/1ac9aec248070b20d0d0d3946f417174.jpeg"
"1708088842-3","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=4","ORGANISEUR POUR VOITURE","https://www.dakarvente.com/annonce-3352-organiseur-pour-voiture.html","8 500 FCFA","Dakar","media/annonces/pics/thumbs/ff283a4ef0e2c75c782ee031ba194f63.jpg"
"1708088842-4","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=4","Bateau à louer","https://www.dakarvente.com/annonce-3079-bateau-louer.html","90 000 FCFA","Somone","media/annonces/pics/thumbs/f3fe90a0ee4bb8c0e3232774052718cf.jpg"
"1708088842-5","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=4","Location  nissan juke","https://www.dakarvente.com/annonce-1378-location-nissan-juke.html","50 000 FCFA","Plateau","img/nophoto.png"
"1708088842-6","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=4","loue voiture toutes marque à partir de 25 000 cfa","https://www.dakarvente.com/annonce-2301-loue-voiture-toutes-marque-partir-de-25-000-cfa.html","30 000 FCFA","Ouest Foire","media/annonces/pics/thumbs/238760a28f9060a5d01fcf5ecd260e2a.png"
"1708088842-7","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=4","Toyota sequoia v8 a louer","https://www.dakarvente.com/annonce-2070-toyota-sequoia-v8-a-louer.html","100 000 FCFA","Plateau","media/annonces/pics/thumbs/516fe4d4d1e6c03dbbf60241d5bbeeaa.jpg"
"1708088842-8","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=4","Location de voiture cobalt","https://www.dakarvente.com/annonce-1302-location-de-voiture-cobalt.html","25 000 FCFA","Plateau","media/annonces/pics/thumbs/b8beb78f2536162ef279fa99eb2c6e15.jpg"
"1708088842-9","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=4","Nissan juke","https://www.dakarvente.com/annonce-1377-nissane-juke.html","50 000 FCFA","Plateau","media/annonces/pics/thumbs/efc3fa21f902e1e8691a6d23e14eb5d8.jpg"
"1708088842-10","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=4","Toyota yaris sedan","https://www.dakarvente.com/annonce-1233-toyota-yaris-sedan.html","20 000 FCFA","Plateau","media/annonces/pics/thumbs/2edb1d489a6de9f9c188533b89c779ca.jpg"
"1708088842-11","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=4","Sen service location loue des voiture des marques","https://www.dakarvente.com/annonce-702-sen-service-location-loue-des-voiture-des-marques.html","30 000 FCFA","Plateau","media/annonces/pics/thumbs/15ea8355bee0950e2b7f50a9ad50b086.jpg"
"1708088842-12","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=4","Location de voitures et mini bus avec chauffeur","https://www.dakarvente.com/annonce-648-location-de-voitures-et-mini-bus-avec-chauffeur.html","50 000 FCFA","Plateau","media/annonces/pics/thumbs/baf6b26075945f9226489851936d8d65.jpg"
"1708088842-13","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=4","Location d'une citroen c4","https://www.dakarvente.com/annonce-437-location-d-une-citroen-c4.html","20 000 FCFA","Plateau","media/annonces/pics/thumbs/a86bdb3107f5ddda48690f79dac478e3.jpg"
"1708088849-14","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=3","Location de véhicule","https://www.dakarvente.com/annonce-19134-location-de-vhicule.html","15 000 FCFA","Ouakam","img/nophoto.png"
"1708088849-15","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=3","Location Peugeot Partenaire","https://www.dakarvente.com/annonce-19144-location-peugeot-partenaire.html","25 000 FCFA","Almadies","media/annonces/pics/thumbs/dc77f6009bad26e44286410abce2d895.jpg"
"1708088849-16","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=3","Location de voiture","https://www.dakarvente.com/annonce-18318-location-de-voiture.html","15 000 FCFA","Saly","media/annonces/pics/thumbs/59d2477813b328cea3dbb7180a43673b.jpg"
"1708088849-17","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=3","Location de véhicule","https://www.dakarvente.com/annonce-16867-location-de-vhicule.html","40 000 FCFA","Dakar","media/annonces/pics/thumbs/8d655237141e4f3504144cc5664afbcb.jpg"
"1708088849-18","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=3","Kia Sorento à louer","https://www.dakarvente.com/annonce-16693-kia-sorento-louer.html","35 000 FCFA","Sicap liberté","media/annonces/pics/thumbs/5fe2c39df0696bf785bca141064e934e.jpeg"
"1708088849-19","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=3","Hyundai Santa Fe 2015 7 Places","https://www.dakarvente.com/annonce-15092-hyundai-santa-fe-2015-7-places.html","50 000 FCFA","Plateau","media/annonces/pics/thumbs/332e3d5dd18e21e148d2952509c7dc38.jpeg"
"1708088849-20","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=3","Location voiture Ford Escape 2011","https://www.dakarvente.com/annonce-14556-location-voiture-ford-escape-2011.html","40 000 FCFA","Ouakam","media/annonces/pics/thumbs/ef0ec254b16b01753ea4422825cf52db.jpeg"
"1708088849-21","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=3","Location de voiture avec ou sans chauffeur","https://www.dakarvente.com/annonce-14292-location-de-voiture-avec-ou-sans-chauffeur.html","20 000 FCFA","Thiès","media/annonces/pics/thumbs/326fa40afa5563f6cffbd4dab0ac3dd2.jpg"
"1708088849-22","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=3","Location peugeot 508 avec chauffeur","https://www.dakarvente.com/annonce-13846-location-peugeot-508-avec-chauffeur.html","25 FCFA","Keur Massar","media/annonces/pics/thumbs/a3cde715ee10178008a66e0e1123a65e.jpg"
"1708088849-23","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=3","Location de voitures","https://www.dakarvente.com/annonce-13249-location-de-voitures.html","22 500 FCFA","Liberté 6","media/annonces/pics/thumbs/64a667c3783ba5782e285d8587560ef0.jpeg"
"1708088849-24","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=3","Location Ford Fusion SE Toutes options","https://www.dakarvente.com/annonce-13090-location-ford-fusion-se-toutes-options.html","22 500 FCFA","Almadies","media/annonces/pics/thumbs/671ebe9865ffb2dc1190f7919a190e89.jpg"
"1708088849-25","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=3","Location Mercedes ML350 CDI 4Matic","https://www.dakarvente.com/annonce-12777-location-mercedes-ml350-cdi-4matic.html","45 000 FCFA","Almadies","media/annonces/pics/thumbs/3cf0d97eb82b66d59a506fd2b7835f8f.jpg"
"1708088849-26","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=3","Location de voiture","https://www.dakarvente.com/annonce-12500-location-de-voiture.html","35 000 FCFA","Nord Foire","media/annonces/pics/thumbs/fcb28dfaf18fda9e919c53fff41ea98c.jpeg"
"1708088849-27","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=3","Location de voitures","https://www.dakarvente.com/annonce-12327-location-de-voitures.html","22 500 FCFA","Grand Yoff","media/annonces/pics/thumbs/d64f620e2cec6061bedee0bf33995c5b.jpeg"
"1708088849-28","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=3","Ventes et locations de véhicules","https://www.dakarvente.com/annonce-12274-ventes-et-locations-de-vhicules.html","350 000 FCFA","Rufisque","media/annonces/pics/thumbs/30fbaa7831f664fae4c96dc7b9e6e4d1.jpeg"
"1708088849-29","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=3","Location de voiture avec chauffeur","https://www.dakarvente.com/annonce-11866-location-de-voiture-avec-chauffeur.html","20 000 FCFA","Almadies","media/annonces/pics/thumbs/7fa5d02acf9352fdc3340a2cc5478fb2.jpg"
"1708088849-30","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=3","Location minibus Toyota Hiace 14 places","https://www.dakarvente.com/annonce-11119-location-minibus-toyota-hiace-14-places.html","50 000 FCFA","Yoff","media/annonces/pics/thumbs/e11e48509ffbfa57c5937e548e646004.jpg"
"1708088849-31","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=3","Location véhicule + chauffeur","https://www.dakarvente.com/annonce-10997-location-vhicule-chauffeur.html","30 000 FCFA","Castors","media/annonces/pics/thumbs/50b558537b42d2d0b28e38ae40269c34.jpg"
"1708088849-32","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=3","Location véhicule + chauffeur","https://www.dakarvente.com/annonce-10977-location-vhicule-chauffeur.html","30 000 FCFA","Castors","media/annonces/pics/thumbs/c85b445746abba358fa397ad3bbdde95.jpg"
