web-scraper-order,web-scraper-start-url,marque,marque-href,prix,adresse,image-src
"1708088599-1","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=11","Tmax 500","https://www.dakarvente.com/annonce-355-tmax-500.html","1 650 000 FCFA","Plateau","media/annonces/pics/thumbs/7793c38cf9962a54a16a72257c89840a.jpg"
"1708088599-2","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=11","Honda hornet 600","https://www.dakarvente.com/annonce-354-honda-hornet-600.html","1 000 000 FCFA","Plateau","media/annonces/pics/thumbs/534b67de05771d7f50f730b269ae1e0f.jpg"
"1708088599-3","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=11","Scooter agility","https://www.dakarvente.com/annonce-253-scooter-agility.html","255 000 FCFA","Plateau","media/annonces/pics/thumbs/31b95ae0f60850fd690b98dd47c13ccd.jpg"
"1708088599-4","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=11","Kymko 4 temps 125","https://www.dakarvente.com/annonce-252-kymko-4-temps-125.html","140 000 FCFA","Plateau","media/annonces/pics/thumbs/93a04ba02fde08d07eacad9a8fa3664e.jpg"
"1708088599-5","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=11","Nexus m-35","https://www.dakarvente.com/annonce-254-nexus-m-35.html","750 000 FCFA","Plateau","media/annonces/pics/thumbs/71026334934e23ad867113c1dc35ca15.jpg"
"1708088599-6","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=11","Vespa 250","https://www.dakarvente.com/annonce-256-vespa-250.html","550 000 FCFA","Plateau","media/annonces/pics/thumbs/a8b8f7d93d2b0a32eed02e11efd3bb71.jpg"
"1708088599-7","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=11","Tmax 530","https://www.dakarvente.com/annonce-195-tmax-530.html","2 300 000 FCFA","Plateau","media/annonces/pics/thumbs/940f418806fbd25c6f871ba3b36887f1.jpg"
"1708088599-8","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=11","Honda hornet 600","https://www.dakarvente.com/annonce-196-honda-hornet-600.html","1 200 000 FCFA","Plateau","media/annonces/pics/thumbs/6f9a2918bfdb5e060105060b6f2026ba.jpg"
"1708088599-9","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=11","Honda sh","https://www.dakarvente.com/annonce-194-honda-sh.html","1 200 000 FCFA","Plateau","media/annonces/pics/thumbs/6f3687b2965ffde414a321f13dbd7537.jpg"
"1708088599-10","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=11","T-max","https://www.dakarvente.com/annonce-9-t-max.html","1 700 000 FCFA","Plateau","media/annonces/pics/thumbs/78b7dd4158bd818b569ec884c624ade2.jpg"
