web-scraper-order,web-scraper-start-url,marque,marque-href,prix,adresse,image-src
"1708089552-1","https://dakarvente.com/index.php?page=annonces_categorie&id=32&sort=&nb=42","Nokia 3","https://www.dakarvente.com/annonce-409-nokia-3.html","79 900 FCFA","Plateau","media/annonces/pics/thumbs/5bad42836e57971f3c013abd779c986f.jpg"
"1708089552-2","https://dakarvente.com/index.php?page=annonces_categorie&id=32&sort=&nb=42","Tecno spark k7","https://www.dakarvente.com/annonce-416-tecno-spark-k7.html","58 000 FCFA","Plateau","media/annonces/pics/thumbs/ce6d4e6cdb3fac618d9977a2bb979189.png"
"1708089552-3","https://dakarvente.com/index.php?page=annonces_categorie&id=32&sort=&nb=42","Iphone 6s 16go","https://www.dakarvente.com/annonce-411-iphone-6s-16go.html","125 000 FCFA","Plateau","media/annonces/pics/thumbs/e237b902da194da011f7c226aa7153b2.jpg"
"1708089552-4","https://dakarvente.com/index.php?page=annonces_categorie&id=32&sort=&nb=42","Iphone 7","https://www.dakarvente.com/annonce-310-iphone-7.html","230 000 FCFA","Plateau","media/annonces/pics/thumbs/fd52827e805be3dadbc9ddad94254903.jpg"
"1708089552-5","https://dakarvente.com/index.php?page=annonces_categorie&id=32&sort=&nb=42","Samsung grand prime+","https://www.dakarvente.com/annonce-378-samsung-grand-prime.html","57 900 FCFA","Plateau","media/annonces/pics/thumbs/dba15b4eeb7eb1bbe0b2ff8c040ea591.jpg"
"1708089552-6","https://dakarvente.com/index.php?page=annonces_categorie&id=32&sort=&nb=42","Invens d4","https://www.dakarvente.com/annonce-377-invens-d4.html","34 900 FCFA","Plateau","media/annonces/pics/thumbs/edd311adc211fdce51e1c077593cbb0c.jpeg"
"1708089552-7","https://dakarvente.com/index.php?page=annonces_categorie&id=32&sort=&nb=42","Lg v10","https://www.dakarvente.com/annonce-311-lg-v10.html","110 000 FCFA","Plateau","media/annonces/pics/thumbs/1f0fe234425867db3b49a15ff1d8dced.jpg"
"1708089552-8","https://dakarvente.com/index.php?page=annonces_categorie&id=32&sort=&nb=42","Iphone 6 simple","https://www.dakarvente.com/annonce-379-iphone-6-simple.html","120 000 FCFA","Plateau","media/annonces/pics/thumbs/fd1a65d9dce2c23e36e775dfdce270c3.jpg"
"1708089552-9","https://dakarvente.com/index.php?page=annonces_categorie&id=32&sort=&nb=42","Tecno spark k7","https://www.dakarvente.com/annonce-317-tecno-spark-k7.html","57 000 FCFA","Plateau","media/annonces/pics/thumbs/bf7d0b71d76a3c28f7122a3eb4135489.png"
"1708089552-10","https://dakarvente.com/index.php?page=annonces_categorie&id=32&sort=&nb=42","Samsung Galaxy note 8","https://www.dakarvente.com/annonce-313-samsung-galaxy-note-8.html","340 000 FCFA","Plateau","media/annonces/pics/thumbs/a5bc854721d2c6216ce4f459e6110cf2.jpg"
"1708089552-11","https://dakarvente.com/index.php?page=annonces_categorie&id=32&sort=&nb=42","Samsung galaxy j7 pro 2017","https://www.dakarvente.com/annonce-316-samsung-galaxy-j7-pro-2017.html","149 900 FCFA","Plateau","media/annonces/pics/thumbs/da0d17cf899db710d8c1d750e8dbef25.jpg"
"1708089552-12","https://dakarvente.com/index.php?page=annonces_categorie&id=32&sort=&nb=42","Samsung galaxy s7 32gb","https://www.dakarvente.com/annonce-318-samsung-galaxy-s7-32gb.html","170 000 FCFA","Plateau","media/annonces/pics/thumbs/7c7922bf179115f5f9db5f8b474fbe9d.png"
"1708089552-13","https://dakarvente.com/index.php?page=annonces_categorie&id=32&sort=&nb=42","Motorola e4 plus","https://www.dakarvente.com/annonce-314-motorola-e4-plus.html","89 900 FCFA","Plateau","media/annonces/pics/thumbs/5ca6807ed1d73751ddc7f139c9880a48.jpg"
"1708089552-14","https://dakarvente.com/index.php?page=annonces_categorie&id=32&sort=&nb=42","Invens royal r7","https://www.dakarvente.com/annonce-312-invens-royal-r7.html","29 900 FCFA","Plateau","media/annonces/pics/thumbs/a59dce6a166671a24f67b00c9eff929e.jpg"
"1708089552-15","https://dakarvente.com/index.php?page=annonces_categorie&id=32&sort=&nb=42","Iphone 7 plus","https://www.dakarvente.com/annonce-309-iphone-7-plus.html","320 000 FCFA","Plateau","media/annonces/pics/thumbs/85e145bdb8bf070f84a0a14e60d66a08.jpg"
"1708089552-16","https://dakarvente.com/index.php?page=annonces_categorie&id=32&sort=&nb=42","Samsung galaxy j1 ace","https://www.dakarvente.com/annonce-315-samsung-galaxy-j1-ace.html","44 900 FCFA","Plateau","media/annonces/pics/thumbs/b6d7220266fad3290bda735b1883d744.jpg"
"1708089552-17","https://dakarvente.com/index.php?page=annonces_categorie&id=32&sort=&nb=42","Samsung galaxy s6 edge","https://www.dakarvente.com/annonce-298-samsung-galaxy-s6-edge.html","160 000 FCFA","Plateau","media/annonces/pics/thumbs/b09d788c7794fd2d16c632fa3e32d6ea.jpg"
"1708089552-18","https://dakarvente.com/index.php?page=annonces_categorie&id=32&sort=&nb=42","Tecno x camon","https://www.dakarvente.com/annonce-297-tecno-x-camon.html","114 900 FCFA","Plateau","media/annonces/pics/thumbs/5abaa148aae9af69d6b2987266c3ac29.png"
"1708089552-19","https://dakarvente.com/index.php?page=annonces_categorie&id=32&sort=&nb=42","Invens f3","https://www.dakarvente.com/annonce-296-invens-f3.html","47 000 FCFA","Plateau","media/annonces/pics/thumbs/c4bcc6a1445c33727d86e255240e4a53.jpg"
"1708089552-20","https://dakarvente.com/index.php?page=annonces_categorie&id=32&sort=&nb=42","Iphone 5s 16gb gold","https://www.dakarvente.com/annonce-270-iphone-5s-16gb-gold.html","94 900 FCFA","Plateau","media/annonces/pics/thumbs/77d0bd6ac35276e49277ce26777d8e5c.jpg"
"1708089552-21","https://dakarvente.com/index.php?page=annonces_categorie&id=32&sort=&nb=42","Samsung galaxy j4","https://www.dakarvente.com/annonce-267-samsung-galaxy-j4.html","105 000 FCFA","Plateau","media/annonces/pics/thumbs/0086d33c2014997a88213f1f87877017.png"
"1708089552-22","https://dakarvente.com/index.php?page=annonces_categorie&id=32&sort=&nb=42","Tecno spark 2","https://www.dakarvente.com/annonce-265-tecno-spark-2.html","64 900 FCFA","Plateau","media/annonces/pics/thumbs/4536f210e514c85d86298e11f7ff263b.png"
"1708089552-23","https://dakarvente.com/index.php?page=annonces_categorie&id=32&sort=&nb=42","Iphone 6s","https://www.dakarvente.com/annonce-222-iphone-6s.html","169 900 FCFA","Plateau","media/annonces/pics/thumbs/2dca2e50e33253daee573995c6b520f5.jpg"
"1708089552-24","https://dakarvente.com/index.php?page=annonces_categorie&id=32&sort=&nb=42","Tecno w2","https://www.dakarvente.com/annonce-220-tecno-w2.html","37 000 FCFA","Plateau","media/annonces/pics/thumbs/6686654eb11158bcfef5bdc6521f4ce8.jpg"
"1708089552-25","https://dakarvente.com/index.php?page=annonces_categorie&id=32&sort=&nb=42","Samsung galaxy j3","https://www.dakarvente.com/annonce-209-samsung-galaxy-j3.html","69 900 FCFA","Plateau","media/annonces/pics/thumbs/c0907d38ee0399aeb2898a27f1d815f1.jpg"
"1708089552-26","https://dakarvente.com/index.php?page=annonces_categorie&id=32&sort=&nb=42","Tecno f2","https://www.dakarvente.com/annonce-211-tecno-f2.html","39 900 FCFA","Plateau","media/annonces/pics/thumbs/88a806ac2389205be1c624a51af50acc.jpg"
"1708089552-27","https://dakarvente.com/index.php?page=annonces_categorie&id=32&sort=&nb=42","Tablette enfant android 9pouces polaroid","https://www.dakarvente.com/annonce-213-tablette-enfant-android-9pouces-polaroid.html","32 500 FCFA","Plateau","media/annonces/pics/thumbs/28ffdeee367c3fddf25cca65a89dc226.jpg"
"1708089552-28","https://dakarvente.com/index.php?page=annonces_categorie&id=32&sort=&nb=42","Iphone 7 plus","https://www.dakarvente.com/annonce-212-iphone-7-plus.html","330 000 FCFA","Plateau","media/annonces/pics/thumbs/dd69b45b2c4ca9789e968643f1338003.jpeg"
"1708089552-29","https://dakarvente.com/index.php?page=annonces_categorie&id=32&sort=&nb=42","Samsung galaxy grand prime+ 4g","https://www.dakarvente.com/annonce-210-samsung-galaxy-grand-prime-4g.html","57 900 FCFA","Plateau","media/annonces/pics/thumbs/6a85de31e6379f2390e3314eec87fb31.jpg"
"1708089552-30","https://dakarvente.com/index.php?page=annonces_categorie&id=32&sort=&nb=42","Iphone 8 plus","https://www.dakarvente.com/annonce-175-iphone-8-plus.html","500 000 FCFA","Plateau","media/annonces/pics/thumbs/bba3d66b958b8ce0a3cef3ce70057d68.jpg"
"1708089552-31","https://dakarvente.com/index.php?page=annonces_categorie&id=32&sort=&nb=42","Samsung galaxy j3","https://www.dakarvente.com/annonce-15-samsung-galaxy-j3.html","69 900 FCFA","Plateau","media/annonces/pics/thumbs/588aab0a7019eeb3f3ca0741a651674a.png"
"1708089552-32","https://dakarvente.com/index.php?page=annonces_categorie&id=32&sort=&nb=42","Galaxy note 8","https://www.dakarvente.com/annonce-16-galaxy-note-8.html","430 000 FCFA","Plateau","media/annonces/pics/thumbs/871f957aa0a064da0a2befd2c53ab42c.jpg"
"1708089552-33","https://dakarvente.com/index.php?page=annonces_categorie&id=32&sort=&nb=42","Motorola e4 plus","https://www.dakarvente.com/annonce-46-motorola-e4-plus.html","89 900 FCFA","Plateau","media/annonces/pics/thumbs/92c7994737a276dd1fc2c290411a5ff3.jpeg"
"1708089552-34","https://dakarvente.com/index.php?page=annonces_categorie&id=32&sort=&nb=42","Samsung galaxy s6 edge","https://www.dakarvente.com/annonce-47-samsung-galaxy-s6-edge.html","159 900 FCFA","Plateau","media/annonces/pics/thumbs/7e827f0d8ed40feeeff65a5b0ef747b8.jpeg"
"1708089552-35","https://dakarvente.com/index.php?page=annonces_categorie&id=32&sort=&nb=42","Iphone 5s","https://www.dakarvente.com/annonce-48-iphone-5s.html","80 000 FCFA","Plateau","media/annonces/pics/thumbs/9721713600cdfdc2646d9778be3e0cfc.jpeg"
"1708089552-36","https://dakarvente.com/index.php?page=annonces_categorie&id=32&sort=&nb=42","Samsung galaxy grand prime plus 4g","https://www.dakarvente.com/annonce-49-samsung-galaxy-grand-prime-plus-4g.html","57 000 FCFA","Plateau","media/annonces/pics/thumbs/f57c0f01b47c67ad134a7304efe62f95.jpg"
"1708089552-37","https://dakarvente.com/index.php?page=annonces_categorie&id=32&sort=&nb=42","Ipad air 1","https://www.dakarvente.com/annonce-51-ipad-air-1.html","100 000 FCFA","Plateau","media/annonces/pics/thumbs/5ce958ccba81e204596af621e56f446f.jpg"
"1708089552-38","https://dakarvente.com/index.php?page=annonces_categorie&id=32&sort=&nb=42","Vends un Tecno camon x pro","https://www.dakarvente.com/annonce-129-vends-un-tecno-camon-x-pro.html","135 000 FCFA","Plateau","media/annonces/pics/thumbs/21192c68f3734e184c4a49a3d2bd73fc.jpg"
"1708089552-39","https://dakarvente.com/index.php?page=annonces_categorie&id=32&sort=&nb=42","Iphone 6 simple","https://www.dakarvente.com/annonce-140-iphone-6-simple.html","130 000 FCFA","Plateau","media/annonces/pics/thumbs/9dc1cf2ff3a464553891afc718704bb5.jpg"
"1708089556-40","https://dakarvente.com/index.php?page=annonces_categorie&id=32&sort=&nb=41","Montre connectee Smartwatch  à vendre","https://www.dakarvente.com/annonce-588-montre-connectee-smartwatch-vendre.html","20 000 FCFA","Plateau","media/annonces/pics/thumbs/fe495befdc9db89e1e30fcfe3c466db8.jpg"
"1708089556-41","https://dakarvente.com/index.php?page=annonces_categorie&id=32&sort=&nb=41","Iphone 7 plus rouge","https://www.dakarvente.com/annonce-642-iphone-7-plus.html","375 000 FCFA","Plateau","media/annonces/pics/thumbs/465819f1091173390499a480a108d070.jpg"
"1708089556-42","https://dakarvente.com/index.php?page=annonces_categorie&id=32&sort=&nb=41","Iphone 6","https://www.dakarvente.com/annonce-609-iphone-6.html","130 000 FCFA","Plateau","media/annonces/pics/thumbs/757fac7a210a978b68b8ab8bc71b9860.jpg"
"1708089556-43","https://dakarvente.com/index.php?page=annonces_categorie&id=32&sort=&nb=41","Huawei p20 pro","https://www.dakarvente.com/annonce-494-huawei-p20-pro.html","450 000 FCFA","Plateau","media/annonces/pics/thumbs/cad1c94365c31c73f82f1985dd38b434.png"
